513,393,0,0,0,0,0,0,5,1,55,608,441,488,405,54,57,33,87,72,141,12,0,32
207,213,267,341,458,46,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,2,4,0,1,2,2,293,331,246,205,88,359,365,288,489,496,577,523,550,358
548,541,453,511,474,484,423,738,426,338,263,477,501,172,142,371,287,273,193,106,65,99,270,132
55,62,227,134,0,4,141,133,0,160,701,529,647,613,523,681,703,607,634,505,50,54,333,190
302,367,177,851,415,226,241,290,617,586,499,486,536,599,446,388,493,513,623,578,447,300,398,487
278,320,429,518,470,129,246,321,119,128,442,659,289,419,617,33,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12,258,434,361,345,541,395,436,444,427,424,338,414,405
385,413,422,378,276,403,361,301,294,297,44,316,757,736,813,580,552,419,342,1,0,0,0,0
0,0,0,0,0,0,0,0,291,528,494,447,508,479,486,540,569,628,556,396,569,91,0,1
0,0,0,0,0,0,0,0,0,0,0,328,573,568,556,59,188,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,923,0,0
0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,3,3,2,1,4,3,4,3,2,3,2,3,4,3,4,2,3,3,4,3,3,3,3
4,0,0,0,0,0,0,0,2,4,3,3,4,3,3,0,3,2,4,2,1,1,3,4
3,3,3,4,3,3,4,3,4,3,4,4,3,4,3,3,3,3,3,2,3,2,4,3
4,3,4,4,3,3,4,2,4,3,3,4,3,4,3,5,0,2,3,4,1,0,3,3
3,4,3,1,0,1,0,4,2,0,3,3,4,3,3,1,0,3,4,0,1,3,2,3
4,3,4,2,3,3,3,3,1,4,3,4,3,3,3,0,3,4,3,3,4,3,4,3
4,3,4,3,3,3,4,3,2,0,3,3,3,4,3,3,4,3,2,4,2,4,3,4
3,2,3,4,3,3,4,3,4,3,4,3,3,3,3,1,3,2,3,3,2,4,3,4
3,3,4,2,4,3,4,3,4,3,3,3,4,2,3,3,1,4,2,0,2,2,3,3
3,3,1,3,3,2,2,3,2,2,1,0,0,0,0,0,0,3,1,3,1,3,4,2
0,1,3,2,2,0,0,0,0,0,0,0,0,2,2,3,3,2,3,3,2,1,2,3
2,2,4,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,4,2,4,2,4
3,4,3,4,3,4,3,4,3,4,3,2,2,3,3,2,4,2,3,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1
3,4,3,4,2,2,2,4,3,3,3,2,1,3,2,4,3,3,1,2,3,1,1,1
3,2,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3,3,1,1,4,3,2,3,4,3,4,2,4,3,4,3,4,3,3,4,2,3,3,4
3,3,3,4,3,4,4,2,4,3,4,3,4,3,3,2,4,3,4,3,4,3,4,3
2,3,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,3,0,0
0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,3,3,4,3,3,3,3,3
3,3,3,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,3,2,2,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,2,3
3,4,3,4,2,1,0,0,0,2,4,3,3,2,1,3,3,3,3,4,1,2,2,4
2,4,3,4,3,3,3,4,3,4,1,0,0,0,0,0,0,0,2,1,1,4,3,1
1,4,2,2,3,3,1,0,0,2,3,1,2,2,1,4,3,3,2,3,4,3,1,0
0,2,4,3,4,3,1,3,3,2,4,2,2,2,0,3,3,0,1,3,4,1,4,0
4,3,4,3,4,3,4,3,4,2,4,3,3,3,4,3,4,3,4,3,4,3,4,3
4,3,4,3,4,4,2,4,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4
3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
